代码,名称,行业,评级,总分,质量分,估值分,催化分,左侧分,最新价,涨跌幅,60日涨跌幅,年初至今涨跌幅,市盈率-动态,市净率,ROE,净利同比,营收同比,毛利率,预告类型,预告变动幅度,距60日高点,20日涨跌幅,快报净利同比,换手率,流通市值,红旗
301031,中熔电气,其他电子Ⅱ,,66.86,39.06492755761269,65.13157894736842,75.41866666666667,100.0,90.8,1.102,-18.263734483162157,,21.932,8.114,7.31,87.43,61.92163638,35.8881088296,预增,57.82,-30.04083519531551,16.157093514135855,,1.37465,10432805864.4,
603101,汇嘉时代,一般零售,,66.83,58.78863464435714,43.08771929824562,73.70266666666666,100.0,7.12,-1.793,-7.532467532467535,,43.335,2.283,6.81,46.4,4.9829625973,33.4690885021,预增,51.385,-24.576271186440668,1.859799713876975,,1.95467,3349248000.0,
603271,永杰新材,工业金属,,66.82,27.85232771229509,53.855799373040746,100.0,100.0,42.56,1.093,-7.6689445709946735,,18.916,2.771,4.0,57.58,21.5881052752,9.6970658563,预增,182.535,-21.76470588235293,-1.2529002320185612,,1.13882,4025154389.76,
300184,力源信息,其他电子Ⅱ,,66.81,17.86474237157143,65.78947368421053,100.0,100.0,12.64,1.853,-10.608203677510607,,84.832,3.112,6.9,209.5,59.4583037337,10.8606393202,预增,212.075,-30.777656078860904,9.722222222222232,,4.69281,13297668755.84,
600999,招商证券,证券Ⅱ,,66.74,41.349999999999994,70.0,87.33333333333333,75.0,18.04,-1.096,6.236381838525396,,13.363,1.262,2.54,41.73,47.9584732677,,预增,102.5,-19.79013827753324,-4.651162790697683,,0.53526,133892975106.88,
300773,拉卡拉,多元金融,,66.63,46.78328918257143,57.62237762237762,72.75466666666667,100.0,15.37,-1.158,-16.175828970331587,,10.179,3.606,14.67,191.67,22.8052763972,24.1516048556,预增,47.83,-23.03840568824797,8.621908127208467,,2.59488,15809746904.73,
600986,浙文互联,广告营销,,66.62,25.0,56.49999999999999,100.0,100.0,7.87,-1.625,-16.631355932203384,,131.167,2.269,-0.44,-120.64,-14.0856986071,8.6416541518,预增,629.995,-29.54341987466428,22.968750000000004,,7.42578,11705633867.94,净利大幅下滑
603132,金徽股份,工业金属,,66.55,73.85071796322751,21.04493207941483,76.52799999999999,100.0,18.45,0.655,2.2727272727272707,,33.545,5.322,12.26,61.52,37.0026630278,70.3806814053,预增,61.98,-8.798813643104308,28.30319888734352,,0.84885,18044100000.0,
600395,盘江股份,煤炭开采,,66.37,38.72865279,42.00000000000001,97.0,100.0,5.18,3.187,0.974658869395717,,33.856,1.038,0.425,143.34,0.7358299706,27.732613906,扭亏,1326.67,-14.942528735632187,14.601769911504435,,2.10068,11119516950.92,
601869,长飞光纤,通信设备,,66.34,56.33540304978572,17.768115942028988,100.0,100.0,355.18,5.235,-5.486961149547631,,331.944,20.662,3.53,226.4,27.7014158526,41.5145642697,预增,1566.5,-38.76206896551724,-1.76729264042923,,3.59885,144323242366.52,
