date,open,close,high,low,volume,指数
2025-12-03,13071.160,12955.250,13126.670,12922.680,691706047.000,深证成指
2025-12-04,12957.800,13006.720,13042.960,12881.560,634198084.000,深证成指
2025-12-05,13020.290,13147.680,13164.480,12938.350,669303065.000,深证成指
2025-12-08,13178.960,13329.990,13389.670,13178.960,729089825.000,深证成指
2025-12-09,13295.620,13277.360,13398.250,13227.770,688045902.000,深证成指
2025-12-10,13251.270,13316.420,13344.850,13126.210,676290971.000,深证成指
2025-12-11,13333.290,13147.390,13388.260,13147.390,705369907.000,深证成指
2025-12-12,13174.450,13258.330,13284.270,13085.420,700998215.000,深证成指
2025-12-15,13150.430,13112.090,13244.030,13111.380,627285731.000,深证成指
2025-12-16,13084.880,12914.670,13113.990,12851.220,664521844.000,深证成指
2025-12-17,12927.390,13224.510,13254.810,12927.390,653501697.000,深证成指
2025-12-18,13112.610,13053.970,13205.220,13053.970,590116207.000,深证成指
2025-12-19,13116.190,13140.210,13217.440,13070.730,657127412.000,深证成指
2025-12-22,13225.400,13332.730,13349.080,13225.400,653549135.000,深证成指
2025-12-23,13338.930,13368.990,13447.290,13305.760,674894658.000,深证成指
2025-12-24,13378.480,13486.420,13497.100,13347.760,640440440.000,深证成指
2025-12-25,13472.700,13531.410,13563.060,13407.370,660794063.000,深证成指
2025-12-26,13539.050,13603.890,13674.870,13517.800,741292910.000,深证成指
2025-12-29,13604.300,13537.100,13650.700,13494.960,713871413.000,深证成指
2025-12-30,13466.300,13604.070,13645.560,13465.670,716223366.000,深证成指
2025-12-31,13627.260,13525.020,13642.530,13491.680,713396441.000,深证成指
2026-01-05,13633.630,13828.630,13828.970,13633.630,830357123.000,深证成指
2026-01-06,13830.300,14022.550,14024.120,13827.790,931832648.000,深证成指
2026-01-07,14062.020,14030.560,14111.180,13935.530,913575189.000,深证成指
2026-01-08,13971.890,13959.480,14033.590,13883.810,920288378.000,深证成指
2026-01-09,13917.780,14120.150,14139.540,13917.780,1013527536.000,深证成指
2026-01-12,14186.860,14366.910,14391.280,14089.590,1152643528.000,深证成指
2026-01-13,14397.680,14169.400,14458.880,14113.170,1195102024.000,深证成指
2026-01-14,14194.110,14248.600,14459.210,14099.980,1312118729.000,深证成指
2026-01-15,14158.660,14306.730,14328.600,14155.500,971527612.000,深证成指
2026-01-16,14374.540,14281.080,14424.350,14257.590,906894526.000,深证成指
2026-01-19,14221.930,14294.050,14392.880,14221.930,832205019.000,深证成指
2026-01-20,14307.550,14155.630,14337.120,14033.220,881921909.000,深证成指
2026-01-21,14102.210,14255.130,14320.940,14102.210,793387853.000,深证成指
2026-01-22,14313.630,14327.050,14374.510,14223.340,822514300.000,深证成指
2026-01-23,14349.010,14439.660,14449.840,14320.510,982699102.000,深证成指
2026-01-26,14492.420,14316.640,14532.900,14277.670,1023228090.000,深证成指
